,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
197,That '70s Show,1998,16+,8.1,,1,0,0,0,1
198,The Magicians,2015,16+,7.6,,1,0,0,0,1
199,Chef's Table,2015,all,8.6,100%,1,0,0,0,1
200,TURN: Washington's Spies,2014,16+,8.1,81%,1,0,0,0,1
201,Crazy Ex-Girlfriend,2015,16+,7.8,98%,1,0,0,0,1
202,Soul Eater,2008,16+,7.8,100%,1,1,0,0,1
203,Lost Girl,2010,16+,7.7,65%,1,0,0,0,1
204,Wynonna Earp,2016,16+,7.4,93%,1,0,0,0,1
205,Merlin,2008,7+,7.9,,1,1,1,0,1
206,Galavant,2015,7+,8.1,89%,1,0,0,0,1
207,Travelers,2016,16+,8.1,,1,0,0,0,1
208,Hilda,2018,7+,8.6,100%,1,0,0,0,1
209,The Originals,2013,16+,8.2,27%,1,0,0,0,1
210,Episodes,2011,18+,7.8,80%,1,0,0,0,1
211,Absolutely Fabulous,1992,16+,8.1,96%,1,1,0,0,1
212,Living with Yourself,2019,18+,7.2,84%,1,0,0,0,1
213,Malcolm in the Middle,2000,7+,8,,1,1,0,0,1
214,F is for Family,2015,18+,8,86%,1,0,0,0,1
215,The Keepers,2017,16+,8.1,96%,1,0,0,0,1
216,Cheer,2020,16+,8.2,96%,1,0,0,0,1
217,Disenchantment,2018,16+,7.2,68%,1,0,0,0,1
218,Dead Set,2008,18+,7.7,90%,1,0,0,0,1
219,Ezel,2009,all,8.6,,1,0,0,0,1
220,Nurse Jackie,2009,18+,7.7,81%,1,0,0,0,1
221,Case Closed,1996,16+,8.4,,1,1,0,0,1
222,Imposters,2017,16+,7.8,100%,1,0,0,0,1
223,Queer as Folk,1999,18+,8.2,100%,1,0,1,0,1
224,Heartland,2007,7+,8.4,45%,1,0,1,0,1
225,The Staircase,2005,16+,7.9,93%,1,0,0,0,1
226,Madam Secretary,2014,16+,7.6,68%,1,0,0,0,1
227,Chewing Gum,2015,16+,7.7,100%,1,0,0,0,1
228,Glee,2009,16+,6.7,71%,1,0,0,0,1
229,Fairy Tail,2009,16+,8,,1,1,0,0,1
230,The Order,2019,18+,6.9,100%,1,0,0,0,1
231,Legacies,2018,16+,7.5,,1,0,0,0,1
232,North & South,2004,7+,8.6,,1,0,0,0,1
233,Helix,2014,16+,6.8,81%,1,0,0,0,1
234,Safe,2018,18+,7.3,77%,1,0,0,0,1
235,Evil Genius,2018,18+,7.6,80%,1,0,0,0,1
236,Marvel's Iron Fist,2017,18+,6.5,37%,1,0,0,0,1
237,Lilyhammer,2012,18+,8,65%,1,0,0,0,1
238,Voltron: Legendary Defender,2016,7+,8.1,100%,1,0,0,0,1
239,Blue Mountain State,2010,18+,8.3,,1,0,0,0,1
240,Pokémon,1997,7+,7.5,,1,1,1,0,1
241,Cheers,1982,7+,7.8,,1,1,1,0,1
242,Marianne,2019,18+,7.5,93%,1,0,0,0,1
243,Star Trek: Enterprise,2001,7+,7.5,50%,1,1,1,0,1
244,Portlandia,2011,16+,7.8,94%,1,0,0,0,1
245,Better Than Us,2018,,7.4,100%,1,0,0,0,1
246,Five Came Back,2017,16+,8.3,97%,1,0,0,0,1
247,American Crime,2015,16+,7.8,97%,1,0,0,0,1
248,Skins,2007,18+,8.2,,1,0,0,0,1
249,Glitch,2015,16+,7.4,80%,1,0,0,0,1
250,GHOUL,2018,18+,7.1,83%,1,0,0,0,1
251,JoJo's Bizarre Adventure,2012,18+,8.4,,1,1,0,0,1
252,The Society,2019,18+,7,85%,1,0,0,0,1
253,Code Geass: Lelouch of the Rebellion,2006,18+,8.6,,1,0,0,0,1
254,Dracula,2020,18+,6.8,74%,1,0,0,0,1
255,Quantico,2015,16+,6.7,82%,1,0,0,0,1
256,The Innocence Files,2020,,8,100%,1,0,0,0,1
257,Medici: Masters of Florence,2016,7+,7.9,,1,0,0,0,1
258,She-Ra and the Princesses of Power,2018,all,7.3,97%,1,0,0,0,1
259,Versailles,2015,16+,7.9,66%,1,0,0,0,1
260,Rise of Empires: Ottoman,2020,18+,8,,1,0,0,0,1
261,The Mechanism,2018,16+,8.4,80%,1,0,0,0,1
262,Everything Sucks!,2018,16+,7.5,72%,1,0,0,0,1
263,Raising Dion,2019,7+,7.2,82%,1,0,0,0,1
264,All American,2018,16+,7.7,96%,1,0,0,0,1
265,Fullmetal Alchemist,2003,16+,8.6,,1,0,0,0,1
266,The Rain,2018,18+,6.3,82%,1,0,0,0,1
267,ERASED,2016,16+,8.5,,1,1,0,0,1
268,Nailed It!,2018,7+,7.4,98%,1,0,0,0,1
269,Last Tango in Halifax,2012,16+,8.3,98%,1,0,0,0,1
270,Star-Crossed,2014,16+,7.3,57%,1,0,0,0,1
271,The Politician,2019,16+,7.5,57%,1,0,0,0,1
272,Documentary Now!,2015,18+,8.1,94%,1,0,0,0,1
273,Baby,2018,18+,6.8,80%,1,0,0,0,1
274,Secret City,2016,16+,7.4,100%,1,0,0,0,1
275,Abstract: The Art of Design,2017,16+,8.4,100%,1,0,0,0,1
276,Shooter,2016,16+,7.5,44%,1,0,0,0,1
277,Marcella,2016,18+,7.4,65%,1,0,0,0,1
278,The Chef Show,2019,18+,8.2,100%,1,0,0,0,1
279,Rurouni Kenshin,1996,16+,8.5,,1,1,1,0,1
280,The Seven Deadly Sins,2014,16+,8.1,,1,0,0,0,1
281,InuYasha,2000,16+,7.9,,1,1,0,0,1
282,Yeh Meri Family,2018,,9.2,,1,0,0,0,1
283,The Circle,2020,18+,7.5,80%,1,0,0,0,1
284,The Devil Next Door,2019,18+,7.6,91%,1,0,0,0,1
285,Flowers,2016,,8.2,100%,1,0,0,0,1
286,Descendants of the Sun,2016,16+,8.4,,1,1,1,0,1
287,The Hollow,2018,7+,7.2,100%,1,0,0,0,1
288,Frontier,2016,18+,7.2,75%,1,0,0,0,1
289,Your Lie in April,2014,7+,8.6,,1,1,0,0,1
290,Ancient Aliens,2010,7+,7.3,,1,1,1,0,1
291,Sword Art Online,2012,16+,7.6,,1,1,0,0,1
292,Frequency,2016,7+,7.5,77%,1,0,0,0,1
293,Wentworth,2013,18+,8.6,,1,0,0,0,1
294,Beauty and the Beast,2012,16+,7,51%,1,0,1,0,1
295,Cold Justice,2013,16+,7.9,80%,1,0,0,0,1
296,Hyperdrive,2019,7+,8.1,100%,1,0,0,0,1
297,Time: The Kalief Browder Story,2017,16+,8.5,100%,1,0,0,0,1
298,The Toys That Made Us,2017,16+,8.1,100%,1,0,0,0,1
299,Seven Seconds,2018,18+,7.7,77%,1,0,0,0,1
300,Spinning Out,2020,18+,7.7,63%,1,0,0,0,1
301,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%,1,0,0,0,1
302,El internado,2007,7+,8.2,,1,0,0,0,1
303,Frozen Planet,2011,all,9,,1,0,0,0,1
304,London Spy,2015,18+,7.5,86%,1,0,0,0,1
305,Parasyte -the maxim-,2014,18+,8.4,,1,1,0,0,1
306,Containment,2016,16+,7.2,50%,1,0,0,0,1
307,Black Lightning,2018,16+,6.1,95%,1,0,0,0,1
308,Merlí,2015,16+,8.6,,1,0,0,0,1
309,Derek,2013,16+,8,68%,1,0,0,0,1
310,Last Chance U,2016,16+,8.5,93%,1,0,0,0,1
311,Mars,2016,7+,7.5,61%,1,0,0,0,1
312,Love is Blind,2020,7+,6,73%,1,0,0,0,1
313,Love 101,2020,18+,7.7,,1,0,0,0,1
314,3%,2016,7+,7.4,33%,1,0,0,0,1
315,Zoo,2015,16+,6.8,82%,1,0,0,0,1
316,Daybreak,2019,18+,6.7,70%,1,0,0,0,1
317,Hemlock Grove,2013,18+,7.1,38%,1,0,0,0,1
318,Trailer Park Boys,2001,18+,8.4,,1,0,0,0,1
319,Private Practice,2007,16+,6.6,51%,1,1,0,0,1
320,Ragnarok,2020,18+,7.5,,1,0,0,0,1
321,Akame ga Kill!,2014,18+,7.9,,1,1,0,0,1
322,Insatiable,2018,16+,6.6,11%,1,0,0,0,1
323,No Tomorrow,2016,7+,7.2,88%,1,0,0,0,1
324,The Ranch,2016,16+,7.5,,1,0,0,0,1
325,Ramayan,1987,all,9.3,,1,0,0,0,1
326,Surviving R. Kelly,2019,18+,7.6,95%,1,0,0,0,1
327,Easy,2016,18+,6.9,90%,1,0,0,0,1
328,Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%,1,0,0,0,1
329,Knightfall,2017,16+,6.8,60%,1,0,0,0,1
330,Kim's Convenience,2016,16+,8.1,,1,0,0,0,1
331,Kengan Ashura,2019,,8,,1,0,0,0,1
332,Spotless,2015,,7.9,100%,1,0,0,0,1
333,Carmen Sandiego,2019,7+,7.9,93%,1,0,0,0,1
334,Inside Bill's Brain: Decoding Bill Gates,2019,16+,8,50%,1,0,0,0,1
335,Saint Seiya,1986,7+,8.4,,1,0,1,0,1
336,Flint Town,2018,18+,8,95%,1,0,0,0,1
337,Rake,2010,16+,8.6,100%,1,1,1,0,1
338,Rilakkuma and Kaoru,2019,7+,8.4,100%,1,0,0,0,1
339,Scooby-Doo! Mystery Incorporated,2010,7+,8,,1,0,0,0,1
340,anohana: The Flower We Saw That Day,2011,16+,8.2,,1,0,0,0,1
341,Africa,2013,all,9,,1,0,0,0,1
342,The Frankenstein Chronicles,2015,16+,7.3,78%,1,0,0,0,1
343,Meteor Garden,2018,16+,8.2,,1,0,0,0,1
344,Wu Assassins,2019,18+,6.4,83%,1,0,0,0,1
345,The Black Donnellys,2007,16+,8.1,40%,1,0,0,0,1
346,H2O: Just Add Water,2006,all,7.2,,1,1,1,0,1
347,Collateral,2018,7+,6.7,78%,1,0,0,0,1
348,1983,2018,18+,6.8,100%,1,0,0,0,1
349,November 13: Attack on Paris,2018,18+,8.3,100%,1,0,0,0,1
350,Black Butler,2008,16+,7.8,,1,1,0,0,1
351,Green Eggs and Ham,2019,,8.2,100%,1,0,0,0,1
352,The Confession Tapes,2017,16+,7.5,100%,1,0,0,0,1
353,Bad Blood,2017,18+,7.5,80%,1,0,0,0,1
354,Formula 1: Drive to Survive,2019,16+,8.6,,1,0,0,0,1
355,The Great British Bake Off,2010,7+,8.6,,1,0,0,0,1
356,The Trials of Gabriel Fernandez,2020,18+,8.2,80%,1,0,0,0,1
357,Ugly Delicious,2018,18+,7.8,100%,1,0,0,0,1
358,The Night Shift,2014,16+,7.4,30%,1,0,0,0,1
359,Impractical Jokers,2011,16+,8.5,,1,0,0,0,1
360,The Andy Griffith Show,1960,all,8.3,,1,0,1,0,1
361,Itaewon Class,2020,,8.2,,1,0,0,0,1
362,Aquarius,2015,16+,7.1,77%,1,0,0,0,1
363,Caliphate,2020,,8.2,,1,0,0,0,1
364,Black Summer,2019,18+,6.4,75%,1,0,0,0,1
365,Bonding,2019,16+,7.2,64%,1,0,0,0,1
366,Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,,1,0,0,0,1
367,Animaniacs,1993,all,7.9,,1,1,0,0,1
368,When Calls the Heart,2014,all,8.2,,1,0,0,0,1
369,Young & Hungry,2014,16+,7.4,60%,1,0,0,0,1
370,Club de Cuervos,2015,18+,8.2,80%,1,0,0,0,1
371,I'm Sorry,2017,7+,7.9,75%,1,0,0,0,1
372,The Universe,2007,16+,8.8,,1,0,0,0,1
373,The Chalet,2018,18+,7,100%,1,0,0,0,1
374,My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%,1,0,0,0,1
375,Still Game,2002,16+,8.9,,1,0,0,0,1
376,NOVA,1974,7+,8.7,,1,0,1,0,1
377,The Confession Killer,2019,16+,7.4,100%,1,0,0,0,1
378,Father Brown,2013,7+,7.7,,1,0,0,0,1
379,Bordertown,2016,7+,7.6,39%,1,0,0,0,1
380,Battle Creek,2015,16+,7.3,96%,1,0,0,0,1
381,Valhalla Murders,2019,18+,7.1,,1,0,0,0,1
382,Scream: The TV Series,2015,16+,7.2,,1,0,0,0,1
383,Special,2019,18+,7.6,95%,1,0,0,0,1
384,CSI: Miami,2002,16+,6.4,,1,1,0,0,1
385,3Below: Tales of Arcadia,2018,7+,7.8,100%,1,0,0,0,1
386,Mystery Science Theater 3000: The Return,2017,16+,8,100%,1,0,0,0,1
387,Dear White People,2017,16+,6.2,95%,1,0,0,0,1
388,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,,1,0,1,0,1
389,The English Game,2020,,7.6,67%,1,0,0,0,1
390,White Gold,2017,18+,7.4,88%,1,0,0,0,1
391,Crazyhead,2016,,7.3,100%,1,0,0,0,1
392,The Protector,2018,16+,6.9,,1,0,0,0,1
393,Dirty John,2018,16+,7.1,71%,1,0,0,0,1
394,Get Shorty,2017,18+,8.2,,1,0,0,0,1
395,30 for 30,2009,7+,8.8,,1,0,0,0,1
396,Bard of Blood,2019,,7,,1,0,0,0,1
397,The Great Train Robbery,2013,,7.4,78%,1,0,0,0,1
398,Devilman: Crybaby,2018,,7.6,80%,1,0,0,0,1
399,Good Witch,2015,7+,7.3,,1,0,0,0,1
400,It's Bruno!,2019,7+,7.5,100%,1,0,0,0,1
401,Gurren Lagann,2007,16+,8.3,,1,0,0,0,1
402,Gentefied,2020,16+,7.3,88%,1,0,0,0,1
403,Victorious,2010,7+,6.9,,1,0,0,0,1
404,Dynasty,2017,16+,7.3,,1,0,0,0,1
405,The Curious Creations of Christine McConnell,2018,7+,7.7,100%,1,0,0,0,1
406,El Chapo,2017,16+,7.8,,1,0,0,0,1
407,Trinkets,2019,7+,7.1,50%,1,0,0,0,1
408,The Get Down,2016,16+,8.3,,1,0,0,0,1
409,Masum,2017,16+,8.5,,1,0,0,0,1
410,My Little Pony: Friendship Is Magic,2010,7+,7.6,,1,1,0,0,1
411,Fuller House,2016,7+,6.8,28%,1,0,0,0,1
412,Kill la Kill,2013,18+,7.9,,1,0,0,0,1
413,Dark Tourist,2018,18+,7.6,70%,1,0,0,0,1
414,Shtisel,2013,,8.7,,1,0,0,0,1
415,Great News,2017,7+,7,84%,1,0,0,0,1
416,Ouran High School Host Club,2006,16+,8.2,,1,1,0,0,1
417,Grand Hotel,2011,7+,8.4,,1,0,0,0,1
418,The Curse of Oak Island,2014,7+,7,,1,1,0,0,1
419,Workin' Moms,2017,18+,7.5,,1,0,0,0,1
420,Z Nation,2014,18+,6.7,,1,0,0,0,1
421,Losers,2019,,7.7,100%,1,0,0,0,1
422,"Roswell, New Mexico",2019,16+,6.1,55%,1,0,0,0,1
423,Comedians in Cars Getting Coffee,2012,16+,8.1,,1,0,0,0,1
424,Conan,2010,16+,8.1,,1,0,0,0,1
425,The Guild,2007,,8.2,,1,0,0,0,1
426,Friends from College,2017,18+,6.8,24%,1,0,0,0,1
427,Wormwood,2017,16+,7,92%,1,0,0,0,1
428,Watership Down,2018,7+,7.2,77%,1,0,0,0,1
429,Mr. Sunshine,2018,,8.8,,1,0,0,0,1
430,Bitten,2014,16+,7,,1,0,0,0,1
431,No Game No Life,2014,16+,7.9,,1,0,0,0,1
