Country or Area,Year,Area,Month,Record Type,Reliability,Source Year,Value,Value Footnotes
Italy,2007,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2008,0,
Italy,2006,Total,January,Data tabulated by year of occurrence,Provisional figure,2007,47115,
Italy,2006,Total,February,Data tabulated by year of occurrence,Provisional figure,2007,42217,
Italy,2006,Total,March,Data tabulated by year of occurrence,Provisional figure,2007,46223,
Italy,2006,Total,April,Data tabulated by year of occurrence,Provisional figure,2007,38900,
Italy,2006,Total,May,Data tabulated by year of occurrence,Provisional figure,2007,49584,
Italy,2006,Total,June,Data tabulated by year of occurrence,Provisional figure,2007,44802,
Italy,2006,Total,July,Data tabulated by year of occurrence,Provisional figure,2007,46942,
Italy,2006,Total,August,Data tabulated by year of occurrence,Provisional figure,2007,49094,
Italy,2006,Total,September,Data tabulated by year of occurrence,Provisional figure,2007,51351,
Italy,2006,Total,October,Data tabulated by year of occurrence,Provisional figure,2007,52484,
Italy,2006,Total,November,Data tabulated by year of occurrence,Provisional figure,2007,47457,
Italy,2006,Total,December,Data tabulated by year of occurrence,Provisional figure,2007,44113,
Italy,2005,Total,January,Data tabulated by year of occurrence,Provisional figure,2006,44722,
Italy,2005,Total,February,Data tabulated by year of occurrence,Provisional figure,2006,42303,
Italy,2005,Total,March,Data tabulated by year of occurrence,Provisional figure,2006,46887,
Italy,2005,Total,April,Data tabulated by year of occurrence,Provisional figure,2006,43444,
Italy,2005,Total,May,Data tabulated by year of occurrence,Provisional figure,2006,48558,
Italy,2005,Total,June,Data tabulated by year of occurrence,Provisional figure,2006,45022,
Italy,2005,Total,July,Data tabulated by year of occurrence,Provisional figure,2006,46200,
Italy,2005,Total,August,Data tabulated by year of occurrence,Provisional figure,2006,47751,
Italy,2005,Total,September,Data tabulated by year of occurrence,Provisional figure,2006,50262,
Italy,2005,Total,October,Data tabulated by year of occurrence,Provisional figure,2006,48258,
Italy,2005,Total,November,Data tabulated by year of occurrence,Provisional figure,2006,44699,
Italy,2005,Total,December,Data tabulated by year of occurrence,Provisional figure,2006,45916,
Italy,2004,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,562599,
Italy,2004,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2005,45564,
Italy,2004,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2005,40672,
Italy,2004,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2005,43817,
Italy,2004,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2005,39849,
Italy,2004,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2005,42472,
Italy,2004,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2005,44291,
Italy,2004,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2005,51462,
Italy,2004,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2005,52113,
Italy,2004,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2005,54267,
Italy,2004,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2005,50615,
Italy,2004,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2005,48566,
Italy,2004,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2005,48911,
Italy,2003,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,539503,
Italy,2003,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2005,44841,
Italy,2003,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2005,39824,
Italy,2003,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2005,42477,
Italy,2003,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2005,41469,
Italy,2003,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2005,48110,
Italy,2003,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2005,45570,
Italy,2003,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2005,48878,
Italy,2003,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2005,45333,
Italy,2003,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2005,48715,
Italy,2003,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2005,47813,
Italy,2003,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2005,41737,
Italy,2003,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2005,44736,
Italy,2002,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,535538,
Italy,2002,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44329,
Italy,2002,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,38999,
Italy,2002,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,42384,
Italy,2002,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,42626,
Italy,2002,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,45699,
Italy,2002,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,42820,
Italy,2002,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,48423,
Italy,2002,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,46391,
Italy,2002,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,48388,
Italy,2002,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,49127,
Italy,2002,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,42543,
Italy,2002,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,43809,
Italy,2001,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,535282,
Italy,2001,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44862,
Italy,2001,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,37837,
Italy,2001,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,42692,
Italy,2001,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,41703,
Italy,2001,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,47106,
Italy,2001,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,43419,
Italy,2001,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,47683,
Italy,2001,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,45910,
Italy,2001,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,46176,
Italy,2001,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,46465,
Italy,2001,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,41957,
Italy,2001,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,42030,
Italy,2001,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2004,7442,
Italy,2000,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,543039,
Italy,2000,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44926,
Italy,2000,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,40573,
Italy,2000,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,43761,
Italy,2000,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,43342,
Italy,2000,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,47415,
Italy,2000,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,44595,
Italy,2000,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,48994,
Italy,2000,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,47388,
Italy,2000,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,47821,
Italy,2000,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,47148,
Italy,2000,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,44182,
Italy,2000,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,42894,
Italy,1999,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2003,523463,
Italy,1999,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2003,41972,
Italy,1999,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2003,38512,
Italy,1999,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2003,43073,
Italy,1999,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2003,39829,
Italy,1999,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2003,43015,
Italy,1999,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2003,43380,
Italy,1999,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2003,48747,
Italy,1999,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2003,46834,
Italy,1999,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2003,47957,
Italy,1999,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2003,45010,
Italy,1999,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2003,41994,
Italy,1999,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2003,43140,
Italy,1998,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2003,515439,
Italy,1998,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2003,41732,
Italy,1998,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2003,37342,
Italy,1998,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2003,41508,
Italy,1998,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2003,41828,
Italy,1998,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2003,45053,
Italy,1998,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2003,43048,
Italy,1998,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2003,45865,
Italy,1998,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2003,44114,
Italy,1998,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2003,47268,
Italy,1998,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2003,45092,
Italy,1998,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2003,40577,
Italy,1998,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2003,42012,
Italy,1997,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,528901,
Italy,1997,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1998,42961,
Italy,1997,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1998,38353,
Italy,1997,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1998,41745,
Italy,1997,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1998,43413,
Italy,1997,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1998,47167,
Italy,1997,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1998,48858,
Italy,1997,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1998,51186,
Italy,1997,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1998,44149,
Italy,1997,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1998,45933,
Italy,1997,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1998,41570,
Italy,1997,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1998,39199,
Italy,1997,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1998,44367,
Italy,1996,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,525640,
Italy,1996,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1998,42645,
Italy,1996,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1998,39315,
Italy,1996,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1998,42758,
Italy,1996,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1998,40910,
Italy,1996,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1998,45116,
Italy,1996,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1998,44680,
Italy,1996,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1998,48922,
Italy,1996,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1998,46096,
Italy,1996,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1998,45585,
Italy,1996,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1998,45331,
Italy,1996,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1998,41007,
Italy,1996,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1998,43275,
Italy,1995,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,525609,
Italy,1995,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1998,42996,
Italy,1995,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1998,38420,
Italy,1995,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1998,42618,
Italy,1995,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1998,40172,
Italy,1995,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1998,44708,
Italy,1995,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1998,44533,
Italy,1995,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1998,47839,
Italy,1995,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1998,46507,
Italy,1995,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1998,47050,
Italy,1995,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1998,47118,
Italy,1995,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1998,41321,
Italy,1995,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1998,42327,
Italy,1994,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,533050,
